title,price,bedrooms,bathrooms,beds,placeType,spotPhotos,description,address,latitude,longitude,city,state
New York Apts Condo,190,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201016002030876641000000-o.jpg,"Bright, large 1bed,1bath east facing condo unit with spectacular views of the pools and intracoastal inlet. A 5 min drive to Deerfield beach. Minutes to grocery stores, pharmacies, target, Walmart, restaurants and cafes. Unit is located on the second floor of a 2 story building with a total of 12 units. Smoking is allowed on building property and on balcony BUT not in unit. 1 reserved parking spot and plenty of visitors parking. This building has access to 2 heated pools, putting green, shuffleboard, BBQ at poolside. Has a filtered water system under kitchen faucet and on fridge door, Keurig coffee maker, microwave, toaster, washer and dryer in unit, beach chairs, umbrellas and towels. 2 smart TVs with cable and internet included. Queen size bed and pull out sofa both with new memory foam",1445 SE 15th #202,26.297676,-80.082672,Deerfield Beach,FL
Kings Point Flanders A G,180,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20201019031240645180000000-o.jpg,"Enjoy resort-style living. First-floor apartment that has been updated with newer tiles except for Master Bedroom which has carpet. The kitchen has a newer fan, stainless steel appliances include a builtin microwave & cabinets. The Master Bedroom has a walk-in closet with some custom shelves. The second bedroom has a glass slider door tp the patio & utility room where there is a standard washer & dryer with extra shelves. Furnished as of 1/20. Walking distance to pool, golf & course & Flanders Clubhouse. Main Clubhouse has live shows during Winter season which includes a workshop, library, fitness center, movies, indoor & outdoor pools, tennis courts & so much more. Approximately 15 to Downtown Delray & Beaches. Close to major shopping centers and major highways. Courtesy bs on site.",686 Flanders O #686,26.440355,-80.143532,Delray Beach,FL
REGAL PALMS MAYFAIR CONDO,180,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20201023005038584249000000-o.jpg,"Beautiful 2 bed 2 bath 3rd floor corner unit fully furnished with modern furniture, plenty of sun light with spacious balcony, a must see unit.",3300 Springdale Boulevard #301,26.647355,-80.101902,Palm Springs,FL
LUCERNE LAKES GOLF COLONY,120,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20201024014847927270000000-o.jpg,"LOCATION IS THE KEY! THIS 55+ UNIT ON THE 1ST FLOOR HAS A BEAUTIFUL VIEW OF THE GOLF COURSE FROM THE SCREENED PORCH. ALL TILE AND TASTEFULLY DECORATED! THE MASTER BEDROOM HAS WALK IN CLOSET AND MASTER BATH HAS WALK IN SHOWER. IT CAN BE RENTED YEARLY FOR $1200 MONTHLY (TENANT WILL PAY ELECTRIC) OR SEASONAL FOR $1800 ALL INCLUSIVE. READY TO MOVE IN. UNIT MUST BE RENTED FURNISHED ONLY. ALREADY RENTED. AVAILABLE AGAIN fEB. 22, 2021",7209 Golf Colony Court #105,26.607848,-80.159463,Lake Worth,FL
HIGH POINT OF DELRAY SEC 6 CONDO,160,1,1,1,Villa,http://cdn.photos.sparkplatform.com/fl/20201024152433762400000000-o.jpg,"Enjoy the Florida lifestyle in this charming seasonal 1 bedroom 1 1/2 half bath villa located in the much desired neighborhood of High Point of Delray! Turnkey furnished villa with a lovely back yard with plenty of green space where you can BBQ and sit back and relax while enjoying the lovely weather! Florida living at its best in this very active 55+ community where you'll find many planned social activities, resort style pool, clubhouse, tennis court, shuffle board, and so much more! This gem is located in the heart of Delray-close to Atlantic Avenues famous restaurants and beaches. Water and basic cable are included. Seasonal from December-April and now also available off season for the summer! (If need sooner or different dates, owner may be able to accommodate). No HOA approval req!",1332 High Point Place #C,26.466238,-80.11235,Delray Beach,FL
GARDEN ISLES CO-OP 2,195,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20201124222535618742000000-o.jpg,"PRIME LOCATION- 2 MILES TO THE BEACH!! BEAUTIFULLY DECORATED 2 BEDROOM, 2 BATH PIED-à-TERRE,   SPACIOUS SCREENED PORCH OVERLOOKING HEATED POOL. DECORATOR PAINT, CERAMIC TILE THROUGHOUT, NEWER FURNITURE,  KITCHEN W/ GRANITE COUNTERS AND G.E APPLIANCES, CENTRAL A/C. . PERFECT WINTER GETAWAY!**Tenant pays cable & electric***",651 Pine Drive #105,26.230179,-80.116435,Pompano Beach,FL
WYNMOOR-BIMINI VILLAGE,180,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201102120847256099000000-o.jpg,"AVALIABLE SEASONAL, MINIMUN 4 MONTHS, FULLY FURNISHED, 1 BEDROOM.1/5 BATHROOM,TILE FLOOR THROUGH OUT, WASHING AND DRYER INSIDE THE UNIT, ENCLOSED PATIO. WYNMOOR COUNTRY CLUB WITH ALL ITS FABULOUS AMENITIES, POOLS, GOLF, TENNIS,PICKLEBALL, BBQ AREA, RESTAURANT, MOVIE THEATER, FITNESS CENTER, CLUB HOUSE, GATED COMMUNITY, 24 HOURS SECURITY, TRANSPORTATION INSIDE AND OUTSIDE COMPLEX, CLOSE TO AL MAJOR ROADS. ABSOLUTELY MOVE-IN- CONDITION. NO SMOKERS, NOT PETS. ASSO REQUIRE 1 OCCUPANT 55+.DETAILS/COMMENTS POSTED IN THIS LISTING ARE NOT GUARANTEED.",3405 Bimini Lane #J4,26.251827,-80.173237,Coconut Creek,FL
Chateau De Ville Condo,175,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20210422041827171700000000-o.jpg,"Wonderful opportunity to rent east of Dania, close to beach. Renovated, furnitured condo in beautiful community.Can be rented minimum of 6 months at $2,000.00 a month. Master Bed is queen size and second bedroom twin. Wonderful view of garden from Balcony. Washer and Dryer inside the unit. 2 Parking spaces!Easy to show!",430 SE 7th Street #202-E,26.040158,-80.136557,Dania Beach,FL
DEERFIELD BEACH,150,1,1,1,Apartment,http://cdn.photos.sparkplatform.com/fl/20210414183816412631000000-o.jpg,"Great location one block from the beach.  1 bed and 1 bath.  Tiled througout.  2nd floor with balcony overlooking the pool.   Small apartment complex with only 8 apts and a private pool and BBQ.  No laundry in the apt or onsite.  Parking for 1 car only.  No pets permitted.  Online Rentspree Application Fee is $30. First, last and 1 month security required for move in with good credit and proof of income and/or assets.  Available unfurnished annual from early to mid May.  Water included.  Tenant pays electric and cable/WiFi.",2031 SE 5th Street #7,26.31033,-80.077074,Deerfield Beach,FL
Oriole Golf & Tennis Club,120,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20201117022917112055000000-o.jpg,"(HOPA COMMUNITY, 55+) PRIVATE FIRST FLOR CORNER WITH GOLF AND WATER VIEWS! FULLY FURNISHED!MUST HAVE A 700 CREDIT SCORE AND $33K VERIFIABLE ANNUAL INCOME. MANY PERKS IN THIS COMMUNITY.LOVELY POOL AND CABANA, EXERCISE FACILITIES, CARD AND GAME ACTIVITIES, LIBRARY, GROUP GATHERINGS.COME AND SEE...EASY TO SHOW...SIX MONTH AVAILABLE......YEARLY PREFERRED.",7807 Golf Circle Drive #112,26.244736,-80.225608,Margate,FL
CENTURY VILLAGE CONDO,120,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201118150131844246000000-o.jpg,Super clean. Central air. Laminate to bedroom. Queen bed. 2 T.V.s    This unit is being offered as an annual rental or 6-month rental. $1000/month annually with all monies up front or $1200/month for a 6-month rental with all monies up front.,124 Mansfield C,26.391209,-80.174778,Boca Raton,FL
CENTURY VILLAGE,140,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201125192302590505000000-o.jpg,"condo with One bedroom FURNISHED seasonal rental, kitchen -living room -covered screened patio  This active adult independent living community located in Boca Raton offers a unique lifestyle with luxurious recreational facilities at unbelievably very affordable prices. It's located near all types of houses of worship,  dining, shopping and entertainment.  A 125,000 square feet the clubhouse is the center for community activity. It features a grand theater seating 1,250 people. There is an huge list of activities, classes, and clubs (may be subject to change with restrictions)",45 Suffolk B #.,26.393027,-80.184194,Boca Raton,FL
BEACH HOUSE CONDO,180,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201128221053090477000000-o.jpg,"Need to escape the cold? Welcome to Paradise! This 1 Bedroom Condo on 2nd Floor with stairs only access is just across from beach access in Palm Beach Shores! Prefers a 6+ month rental at $1800 a month. Will look at shorter term(2-5 months) for $2000 @month. Great Corner Unit-loads of light! No Pets allowed for tenants per building rules, no elevator. Tenant pays all utilities. Credit, criminal & background checks will be run. Close to just about everything-Surfing, Fishing, Golfing, Restaurants, shopping, marinas & the list goes on! 'The Best Little Town in Florida' is the best kept secret. One car only per unit. All info approximate. Tenant responsible for 13% of Gross rent:Tourism State/County Tax, Exit Cleaning fee & $100 Utilities/month. No washer & dryer in unit or on premises.",108 Bravado Lane #8,26.776013,-80.033841,Palm Beach Shores,FL
